PlantId,PlantName,OperatorID,OperatorName,State,BalancingAuthorityCode,PrimeMover,PrimeFuel,ElecFuelMMBTU,NetGenMWh
54,J K Smith,5580,"East Kentucky Power Coop, Inc",KY,PJM,GT,DFO,"35,461","2,729"
54,J K Smith,5580,"East Kentucky Power Coop, Inc",KY,PJM,GT,NG,"7,311,379","581,603"
384,Joliet 29,12384,Midwest Generations EME LLC,IL,PJM,ST,NG,"7,655,638","701,799"
384,Joliet 29,12384,Midwest Generations EME LLC,IL,PJM,ST,SUB,0,0
591,Christiana,56609,Calpine Mid-Atlantic Generation LLC,DE,PJM,GT,DFO,"4,464",160
592,Delaware City 10,56609,Calpine Mid-Atlantic Generation LLC,DE,PJM,GT,DFO,"1,597",70
593,Edge Moor,56609,Calpine Mid-Atlantic Generation LLC,DE,PJM,GT,DFO,"3,734",139
593,Edge Moor,56609,Calpine Mid-Atlantic Generation LLC,DE,PJM,ST,DFO,635,52
593,Edge Moor,56609,Calpine Mid-Atlantic Generation LLC,DE,PJM,ST,NG,"3,466,578","288,904"
593,Edge Moor,56609,Calpine Mid-Atlantic Generation LLC,DE,PJM,ST,RFO,"39,705","3,361"
594,Indian River Generating Station,9332,Indian River Operations Inc,DE,PJM,GT,DFO,"11,692",511
594,Indian River Generating Station,9332,Indian River Operations Inc,DE,PJM,ST,BIT,"4,541,565","276,729"
594,Indian River Generating Station,9332,Indian River Operations Inc,DE,PJM,ST,DFO,"132,491","7,770"
594,Indian River Generating Station,9332,Indian River Operations Inc,DE,PJM,ST,RFO,0,0
594,Indian River Generating Station,9332,Indian River Operations Inc,DE,PJM,ST,SUB,0,0
597,West Station (DE),56609,Calpine Mid-Atlantic Generation LLC,DE,PJM,GT,DFO,"2,246",43
599,McKee Run,54899,NAES Corporation - (DE),DE,PJM,ST,DFO,0,0
599,McKee Run,54899,NAES Corporation - (DE),DE,PJM,ST,NG,0,0
602,Brandon Shores,60421,Brandon Shores LLC,MD,PJM,ST,BIT,"29,111,038","2,437,019"
602,Brandon Shores,60421,Brandon Shores LLC,MD,PJM,ST,DFO,"421,541","33,786"
602,Brandon Shores,60421,Brandon Shores LLC,MD,PJM,ST,RC,0,0
869,Dresden Generating Station,55951,Exelon Nuclear,IL,PJM,ST,NUC,0,"7,534,065"
869,Dresden Generating Station,55951,Exelon Nuclear,IL,PJM,ST,NUC,0,"7,422,615"
874,Joliet 9,12384,Midwest Generations EME LLC,IL,PJM,ST,NG,"40,719","-78,000"
874,Joliet 9,12384,Midwest Generations EME LLC,IL,PJM,ST,SUB,0,0
876,Kincaid Generation LLC,59918,Dynegy Kincaid Generation,IL,PJM,ST,NG,"161,711","13,976"
876,Kincaid Generation LLC,59918,Dynegy Kincaid Generation,IL,PJM,ST,RC,"40,409,176","3,502,077"
876,Kincaid Generation LLC,59918,Dynegy Kincaid Generation,IL,PJM,ST,SUB,"4,906,984","417,057"
879,Powerton,12384,Midwest Generations EME LLC,IL,PJM,ST,BIT,0,0
879,Powerton,12384,Midwest Generations EME LLC,IL,PJM,ST,NG,"34,512","2,756"
879,Powerton,12384,Midwest Generations EME LLC,IL,PJM,ST,SUB,"33,204,748","2,698,566"
880,Quad Cities Generating Station,55951,Exelon Nuclear,IL,PJM,ST,NUC,0,"8,104,797"
880,Quad Cities Generating Station,55951,Exelon Nuclear,IL,PJM,ST,NUC,0,"7,635,531"
883,Waukegan,12384,Midwest Generations EME LLC,IL,PJM,GT,DFO,"2,013","-2,274"
883,Waukegan,12384,Midwest Generations EME LLC,IL,PJM,ST,NG,"152,810","12,998"
883,Waukegan,12384,Midwest Generations EME LLC,IL,PJM,ST,SUB,"22,173,308","2,072,575"
884,Will County,12384,Midwest Generations EME LLC,IL,PJM,ST,BIT,0,0
884,Will County,12384,Midwest Generations EME LLC,IL,PJM,ST,DFO,"86,738","7,349"
884,Will County,12384,Midwest Generations EME LLC,IL,PJM,ST,SUB,"7,667,999","686,731"
886,Fisk Street,12384,Midwest Generations EME LLC,IL,PJM,GT,DFO,"15,010",-590
886,Fisk Street,12384,Midwest Generations EME LLC,IL,PJM,GT,SUB,0,0
960,North Ninth Street,16179,Rochelle Municipal Utilities,IL,PJM,IC,DFO,"5,251",400
960,North Ninth Street,16179,Rochelle Municipal Utilities,IL,PJM,IC,NG,"28,498","2,059"
960,North Ninth Street,16179,Rochelle Municipal Utilities,IL,PJM,PV,SUN,"3,288",372
961,South Main Street,16179,Rochelle Municipal Utilities,IL,PJM,IC,DFO,"13,164","1,335"
961,South Main Street,16179,Rochelle Municipal Utilities,IL,PJM,IC,NG,0,0
972,Winnetka,20824,Village of Winnetka - (IL),IL,PJM,IC,DFO,"3,144",287
972,Winnetka,20824,Village of Winnetka - (IL),IL,PJM,ST,DFO,0,0
972,Winnetka,20824,Village of Winnetka - (IL),IL,PJM,ST,NG,"66,243","3,602"
983,Clifty Creek,9269,Indiana-Kentucky Electric Corp,IN,PJM,ST,BIT,"54,164,729","4,997,869"
983,Clifty Creek,9269,Indiana-Kentucky Electric Corp,IN,PJM,ST,DFO,"98,573","9,013"
983,Clifty Creek,9269,Indiana-Kentucky Electric Corp,IN,PJM,ST,SUB,"299,126","27,341"
986,Elkhart,9324,Indiana Michigan Power Co,IN,PJM,HY,WAT,"24,300","2,748"
989,Twin Branch,9324,Indiana Michigan Power Co,IN,PJM,HY,WAT,"219,961","24,874"
1040,Whitewater Valley,15989,City of Richmond - (IN),IN,PJM,ST,BIT,"393,166","27,471"
1040,Whitewater Valley,15989,City of Richmond - (IN),IN,PJM,ST,DFO,"8,515",494
1353,Big Sandy,22053,Kentucky Power Co,KY,PJM,ST,NG,"5,668,700","550,541"
